net,length_um
_253_,113.58
_272_,110.6
_265_,95.28
_101_,87.8
_266_,86.53
_016_,86.22
net14,78.98
_301_,74.745
_051_,72.12
_037_,70.075
_038_,68.82
_254_,67.58
_261_,65.12
_097_,63
_270_,61.15
_247_,60.9
_255_,58.52
_297_,52.52
net8,47.18
_019_,40.82
net13,40.56
_088_,38.78
_264_,37.66
net12,37.34
_166_,37.24
_028_,36.53
net3,35.36
net7,34.98
_196_,34.82
_010_,34.22
net44,33.84
_042_,33.44
net52,32.54
_092_,32.36
_131_,32.12
net11,32.06
net51,31.64
_248_,30.98
_257_,30.54
net16,29.375
_054_,29.29
_220_,29.14
_271_,27.94
_061_,26.94
net5,26.48
net25,26.38
net38,26.24
_309_,25.64
net6,25.555
net2,25.06
net42,24.88
_011_,24.46
_027_,23.98
net9,23.38
_089_,23.37
_292_,23.08
_262_,22.92
_009_,22.44
_281_,22.34
_135_,22.04
_283_,21.66
_234_,20.56
_308_,20.44
_029_,20.32
_240_,20.22
_023_,20.03
_228_,19.84
_202_,19.7
_285_,19.28
_018_,19.04
net4,18.58
_157_,18.54
_057_,18.42
_077_,18.24
_041_,18.22
_045_,18.18
_141_,17.98
_047_,17.775
_299_,17.62
_273_,17.12
_269_,17.1
_063_,16.92
_000_,16.84
_206_,16.48
_217_,16.4
_098_,16.3
net10,16.28
net1,16.265
_227_,15.86
_313_,15.84
_114_,15.82
_223_,15.8
a[0],15.71
_210_,15.48
_294_,15.32
_174_,15.28
_127_,15.16
_075_,15.14
_129_,15.14
_307_,15.14
_121_,15.12
_036_,14.9
_040_,14.88
_059_,14.64
_086_,14.56
_286_,14.56
_275_,14.34
_136_,14.22
_312_,14.2
_185_,14
_311_,13.98
_058_,13.74
_154_,13.58
_170_,13.5
_024_,13.46
_142_,13.44
_139_,13.38
_274_,13.24
_116_,13.18
_225_,13.16
_241_,13.16
net36,13.16
_143_,13.06
_168_,13
_260_,12.9
_146_,12.85
_082_,12.84
_100_,12.84
net15,12.84
_232_,12.71
_278_,12.68
_279_,12.68
_122_,12.59
_080_,12.56
_133_,12.56
_152_,12.42
_198_,12.42
_310_,12.4
_230_,12.28
_053_,12.26
prod[14],11.94
_258_,11.76
_125_,11.58
_069_,11.54
_288_,11.34
_049_,11.32
_306_,11.32
_153_,11.24
prod[1],11.17
_214_,11.06
_048_,10.88
_187_,10.82
_203_,10.78
_013_,10.76
_219_,10.76
_244_,10.62
a[4],10.56
prod[13],10.56
net41,10.45
_137_,10.4
_093_,10.36
_002_,10.34
net20,10.2
_107_,10.14
_222_,10.14
_162_,10.08
prod[15],9.98
prod[5],9.98
_064_,9.92
_263_,9.82
_251_,9.72
_259_,9.7
_181_,9.68
_268_,9.66
_280_,9.62
_132_,9.38
_226_,9.35
_212_,9.32
_188_,9.18
net45,9.14
_119_,9.08
_031_,9.04
_183_,9.04
prod[3],8.96
_090_,8.92
_303_,8.88
a[3],8.81
_110_,8.8
_284_,8.8
_213_,8.76
a[5],8.72
a[6],8.72
_056_,8.62
_062_,8.62
_068_,8.48
_099_,8.44
_076_,8.28
_156_,8.22
_003_,8.17
_103_,8.12
_085_,8.1
_189_,8.1
net33,8.02
_236_,7.995
_022_,7.94
_171_,7.94
_140_,7.92
_182_,7.92
_070_,7.86
_163_,7.76
_158_,7.74
_004_,7.7
_211_,7.7
_014_,7.66
_104_,7.66
_289_,7.66
_055_,7.64
prod[4],7.58
_295_,7.56
_231_,7.54
_197_,7.52
_245_,7.5
net43,7.4
_113_,7.38
_123_,7.37
_052_,7.34
b[1],7.33
_025_,7.32
_160_,7.32
_178_,7.32
_276_,7.32
_066_,7.2
_124_,7.2
_172_,7.2
_177_,7.2
_204_,7.2
_277_,7.2
b[0],7.15
_282_,7.14
_238_,7.1
_250_,7.1
_005_,7.06
_112_,7.06
net19,6.86
_128_,6.84
_006_,6.74
_096_,6.72
_184_,6.72
b[3],6.65
_237_,6.62
_267_,6.62
_243_,6.5
_161_,6.4
b[5],6.31
_205_,6.26
_065_,6.18
net22,6.18
_007_,6.08
_224_,6.02
_173_,5.98
_094_,5.96
_033_,5.94
_192_,5.94
_193_,5.94
net29,5.86
_084_,5.84
_044_,5.82
_026_,5.8
_151_,5.8
prod[12],5.75
prod[2],5.75
prod[9],5.75
_256_,5.68
a[7],5.63
net37,5.62
_175_,5.6
net26,5.6
net28,5.58
_186_,5.5
_079_,5.48
_150_,5.48
_179_,5.48
_200_,5.46
net35,5.36
_209_,5.32
b[6],5.29
_221_,5.28
_293_,5.28
_138_,5.26
net49,5.26
_030_,5.14
prod[10],5.07
prod[11],5.07
prod[6],5.07
prod[8],5.07
_073_,5.02
_109_,5.02
_111_,5.02
a[2],4.95
_001_,4.94
_165_,4.92
_229_,4.8
_290_,4.8
a[1],4.73
_021_,4.7
_208_,4.68
_246_,4.68
_298_,4.68
b[4],4.61
_195_,4.6
_072_,4.56
_216_,4.54
net17,4.54
